Supplementary Table 3: Cell metadata for cross-species pancreatic islet analysis

Cell_Name	Species	Individual	Cluster_ID	Baron_Cluster_ID
human1_lib1.final_cell_0122	human	human1	beta	beta
human1_lib1.final_cell_0123	human	human1	delta	epsilon
human1_lib1.final_cell_0124	human	human1	beta	beta
human1_lib1.final_cell_0125	human	human1	beta	beta
human1_lib1.final_cell_0126	human	human1	beta	beta
human1_lib1.final_cell_0127	human	human1	alpha	delta
human1_lib1.final_cell_0128	human	human1	beta	beta
human1_lib1.final_cell_0129	human	human1	delta	delta
human1_lib1.final_cell_0130	human	human1	beta	beta
human1_lib1.final_cell_0131	human	human1	alpha	alpha
human1_lib1.final_cell_0132	human	human1	alpha	alpha
human1_lib1.final_cell_0133	human	human1	beta	beta
human1_lib1.final_cell_0134	human	human1	acinar	acinar
human1_lib1.final_cell_0135	human	human1	alpha	alpha
human1_lib1.final_cell_0136	human	human1	beta	beta
human1_lib1.final_cell_0137	human	human1	beta	beta
human1_lib1.final_cell_0138	human	human1	alpha	alpha
human1_lib1.final_cell_0139	human	human1	beta	beta
human1_lib1.final_cell_0140	human	human1	delta	delta
human1_lib1.final_cell_0141	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0142	human	human1	beta	beta
human1_lib1.final_cell_0143	human	human1	beta	beta
human1_lib1.final_cell_0144	human	human1	beta	beta
human1_lib1.final_cell_0145	human	human1	beta	beta
human1_lib1.final_cell_0146	human	human1	removed	delta
human1_lib1.final_cell_0147	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0148	human	human1	ductal	ductal
human1_lib1.final_cell_0149	human	human1	ductal	ductal
human1_lib1.final_cell_0150	human	human1	beta	beta
human1_lib1.final_cell_0151	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0152	human	human1	beta	beta
human1_lib1.final_cell_0153	human	human1	beta	beta
human1_lib1.final_cell_0154	human	human1	delta	delta
human1_lib1.final_cell_0155	human	human1	beta	beta
human1_lib1.final_cell_0156	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0157	human	human1	beta	beta
human1_lib1.final_cell_0158	human	human1	beta	beta
human1_lib1.final_cell_0159	human	human1	alpha	alpha
human1_lib1.final_cell_0160	human	human1	beta	beta
human1_lib1.final_cell_0161	human	human1	alpha	alpha
human1_lib1.final_cell_0162	human	human1	beta	beta
human1_lib1.final_cell_0163	human	human1	gamma	gamma
human1_lib1.final_cell_0164	human	human1	beta	beta
human1_lib1.final_cell_0165	human	human1	beta	beta
human1_lib1.final_cell_0166	human	human1	beta	beta
human1_lib1.final_cell_0167	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0168	human	human1	beta	beta
human1_lib1.final_cell_0169	human	human1	beta	beta
human1_lib1.final_cell_0170	human	human1	beta	beta
human1_lib1.final_cell_0171	human	human1	acinar	acinar
human1_lib1.final_cell_0172	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0173	human	human1	acinar	acinar
human1_lib1.final_cell_0174	human	human1	beta	beta
human1_lib1.final_cell_0175	human	human1	beta	beta
human1_lib1.final_cell_0176	human	human1	beta	beta
human1_lib1.final_cell_0177	human	human1	acinar	acinar
human1_lib1.final_cell_0178	human	human1	delta	delta
human1_lib1.final_cell_0179	human	human1	beta	beta
human1_lib1.final_cell_0180	human	human1	delta	delta
human1_lib1.final_cell_0181	human	human1	beta	beta
human1_lib1.final_cell_0182	human	human1	acinar	acinar
human1_lib1.final_cell_0183	human	human1	alpha	alpha
human1_lib1.final_cell_0184	human	human1	beta	beta
human1_lib1.final_cell_0185	human	human1	alpha	alpha
human1_lib1.final_cell_0186	human	human1	beta	beta
human1_lib1.final_cell_0187	human	human1	alpha	alpha
human1_lib1.final_cell_0188	human	human1	endothelial	endothelial
human1_lib1.final_cell_0189	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0190	human	human1	beta	beta
human1_lib1.final_cell_0191	human	human1	alpha	alpha
human1_lib1.final_cell_0192	human	human1	delta	delta
human1_lib1.final_cell_0193	human	human1	beta	beta
human1_lib1.final_cell_0194	human	human1	beta	beta
human1_lib1.final_cell_0195	human	human1	delta	delta
human1_lib1.final_cell_0196	human	human1	beta	beta
human1_lib1.final_cell_0197	human	human1	gamma	gamma
human1_lib1.final_cell_0198	human	human1	alpha	alpha
human1_lib1.final_cell_0199	human	human1	beta	beta
human1_lib1.final_cell_0200	human	human1	beta	beta
human1_lib1.final_cell_0201	human	human1	delta	delta
human1_lib1.final_cell_0202	human	human1	alpha	alpha
human1_lib1.final_cell_0203	human	human1	ductal	ductal
human1_lib1.final_cell_0204	human	human1	beta	beta
human1_lib1.final_cell_0205	human	human1	alpha	alpha
human1_lib1.final_cell_0206	human	human1	beta	beta
human1_lib1.final_cell_0207	human	human1	ductal	ductal
human1_lib1.final_cell_0208	human	human1	alpha	alpha
human1_lib1.final_cell_0209	human	human1	ductal	ductal
human1_lib1.final_cell_0210	human	human1	beta	beta
human1_lib1.final_cell_0211	human	human1	beta	beta
human1_lib1.final_cell_0212	human	human1	alpha	alpha
human1_lib1.final_cell_0213	human	human1	beta	beta
human1_lib1.final_cell_0214	human	human1	beta	beta
human1_lib1.final_cell_0215	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0216	human	human1	ductal	ductal
human1_lib1.final_cell_0217	human	human1	ductal	ductal
human1_lib1.final_cell_0218	human	human1	stellate	endothelial
human1_lib1.final_cell_0219	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0220	human	human1	beta	beta
human1_lib1.final_cell_0221	human	human1	delta	delta
human1_lib1.final_cell_0222	human	human1	gamma	gamma
human1_lib1.final_cell_0223	human	human1	beta	beta
human1_lib1.final_cell_0224	human	human1	beta	beta
human1_lib1.final_cell_0225	human	human1	beta	beta
human1_lib1.final_cell_0226	human	human1	alpha	alpha
human1_lib1.final_cell_0227	human	human1	beta	beta
human1_lib1.final_cell_0228	human	human1	beta	beta
human1_lib1.final_cell_0229	human	human1	delta	delta
human1_lib1.final_cell_0230	human	human1	ductal	ductal
human1_lib1.final_cell_0231	human	human1	beta	beta
human1_lib1.final_cell_0232	human	human1	delta	delta
human1_lib1.final_cell_0233	human	human1	delta	delta
human1_lib1.final_cell_0234	human	human1	beta	beta
human1_lib1.final_cell_0235	human	human1	delta	delta
human1_lib1.final_cell_0236	human	human1	beta	beta
human1_lib1.final_cell_0237	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0238	human	human1	beta	beta
human1_lib1.final_cell_0239	human	human1	beta	beta
human1_lib1.final_cell_0240	human	human1	delta	delta
human1_lib1.final_cell_0241	human	human1	beta	beta
human1_lib1.final_cell_0242	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0243	human	human1	beta	beta
human1_lib1.final_cell_0244	human	human1	acinar	acinar
human1_lib1.final_cell_0245	human	human1	alpha	alpha
human1_lib1.final_cell_0246	human	human1	delta	delta
human1_lib1.final_cell_0247	human	human1	beta	beta
human1_lib1.final_cell_0248	human	human1	alpha	alpha
human1_lib1.final_cell_0249	human	human1	beta	beta
human1_lib1.final_cell_0250	human	human1	endothelial	endothelial
human1_lib1.final_cell_0251	human	human1	delta	delta
human1_lib1.final_cell_0252	human	human1	removed	delta
human1_lib1.final_cell_0253	human	human1	beta	beta
human1_lib1.final_cell_0254	human	human1	beta	beta
human1_lib1.final_cell_0255	human	human1	delta	delta
human1_lib1.final_cell_0256	human	human1	gamma	gamma
human1_lib1.final_cell_0257	human	human1	alpha	alpha
human1_lib1.final_cell_0258	human	human1	beta	beta
human1_lib1.final_cell_0259	human	human1	beta	beta
human1_lib1.final_cell_0260	human	human1	beta	beta
human1_lib1.final_cell_0261	human	human1	ductal	ductal
human1_lib1.final_cell_0262	human	human1	delta	delta
human1_lib1.final_cell_0263	human	human1	alpha	alpha
human1_lib1.final_cell_0264	human	human1	beta	beta
human1_lib1.final_cell_0265	human	human1	gamma	gamma
human1_lib1.final_cell_0266	human	human1	beta	beta
human1_lib1.final_cell_0267	human	human1	beta	beta
human1_lib1.final_cell_0268	human	human1	beta	beta
human1_lib1.final_cell_0269	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0270	human	human1	alpha	alpha
human1_lib1.final_cell_0271	human	human1	delta	delta
human1_lib1.final_cell_0272	human	human1	alpha	alpha
human1_lib1.final_cell_0273	human	human1	endothelial	endothelial
human1_lib1.final_cell_0274	human	human1	alpha	alpha
human1_lib1.final_cell_0275	human	human1	removed	delta
human1_lib1.final_cell_0276	human	human1	beta	beta
human1_lib1.final_cell_0277	human	human1	gamma	gamma
human1_lib1.final_cell_0278	human	human1	ductal	ductal
human1_lib1.final_cell_0279	human	human1	alpha	alpha
human1_lib1.final_cell_0280	human	human1	alpha	alpha
human1_lib1.final_cell_0281	human	human1	delta	delta
human1_lib1.final_cell_0282	human	human1	beta	beta
human1_lib1.final_cell_0283	human	human1	beta	beta
human1_lib1.final_cell_0284	human	human1	ductal	ductal
human1_lib1.final_cell_0285	human	human1	alpha	alpha
human1_lib1.final_cell_0286	human	human1	beta	beta
human1_lib1.final_cell_0287	human	human1	delta	delta
human1_lib1.final_cell_0288	human	human1	immune	macrophage
human1_lib1.final_cell_0289	human	human1	endothelial	endothelial
human1_lib1.final_cell_0290	human	human1	beta	beta
human1_lib1.final_cell_0291	human	human1	beta	beta
human1_lib1.final_cell_0292	human	human1	beta	beta
human1_lib1.final_cell_0293	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0294	human	human1	beta	beta
human1_lib1.final_cell_0295	human	human1	beta	beta
human1_lib1.final_cell_0296	human	human1	beta	beta
human1_lib1.final_cell_0297	human	human1	beta	beta
human1_lib1.final_cell_0298	human	human1	beta	beta
human1_lib1.final_cell_0299	human	human1	beta	beta
human1_lib1.final_cell_0300	human	human1	beta	beta
human1_lib1.final_cell_0301	human	human1	gamma	gamma
human1_lib1.final_cell_0302	human	human1	endothelial	endothelial
human1_lib1.final_cell_0303	human	human1	beta	beta
human1_lib1.final_cell_0304	human	human1	beta	beta
human1_lib1.final_cell_0305	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0306	human	human1	delta	delta
human1_lib1.final_cell_0307	human	human1	beta	beta
human1_lib1.final_cell_0308	human	human1	gamma	gamma
human1_lib1.final_cell_0309	human	human1	alpha	epsilon
human1_lib1.final_cell_0310	human	human1	delta	delta
human1_lib1.final_cell_0311	human	human1	beta	beta
human1_lib1.final_cell_0312	human	human1	beta	beta
human1_lib1.final_cell_0313	human	human1	gamma	gamma
human1_lib1.final_cell_0314	human	human1	beta	beta
human1_lib1.final_cell_0315	human	human1	alpha	beta
human1_lib1.final_cell_0316	human	human1	beta	beta
human1_lib1.final_cell_0317	human	human1	beta	beta
human1_lib1.final_cell_0318	human	human1	beta	beta
human1_lib1.final_cell_0319	human	human1	endothelial	endothelial
human1_lib1.final_cell_0320	human	human1	beta	beta
human1_lib1.final_cell_0321	human	human1	delta	delta
human1_lib1.final_cell_0322	human	human1	alpha	alpha
human1_lib1.final_cell_0323	human	human1	delta	epsilon
human1_lib1.final_cell_0324	human	human1	alpha	alpha
human1_lib1.final_cell_0325	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0326	human	human1	alpha	alpha
human1_lib1.final_cell_0327	human	human1	alpha	alpha
human1_lib1.final_cell_0328	human	human1	beta	beta
human1_lib1.final_cell_0329	human	human1	beta	beta
human1_lib1.final_cell_0330	human	human1	ductal	ductal
human1_lib1.final_cell_0331	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0332	human	human1	alpha	alpha
human1_lib1.final_cell_0333	human	human1	beta	beta
human1_lib1.final_cell_0334	human	human1	alpha	alpha
human1_lib1.final_cell_0335	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0336	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0337	human	human1	delta	delta
human1_lib1.final_cell_0338	human	human1	delta	delta
human1_lib1.final_cell_0339	human	human1	beta	beta
human1_lib1.final_cell_0340	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0341	human	human1	removed	beta
human1_lib1.final_cell_0342	human	human1	ductal	ductal
human1_lib1.final_cell_0343	human	human1	acinar	acinar
human1_lib1.final_cell_0344	human	human1	beta	beta
human1_lib1.final_cell_0345	human	human1	alpha	alpha
human1_lib1.final_cell_0346	human	human1	beta	beta
human1_lib1.final_cell_0347	human	human1	removed	beta
human1_lib1.final_cell_0348	human	human1	alpha	alpha
human1_lib1.final_cell_0349	human	human1	beta	beta
human1_lib1.final_cell_0350	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0351	human	human1	beta	beta
human1_lib1.final_cell_0352	human	human1	gamma	gamma
human1_lib1.final_cell_0353	human	human1	removed	beta
human1_lib1.final_cell_0354	human	human1	gamma	gamma
human1_lib1.final_cell_0355	human	human1	endothelial	endothelial
human1_lib1.final_cell_0356	human	human1	beta	beta
human1_lib1.final_cell_0357	human	human1	alpha	alpha
human1_lib1.final_cell_0358	human	human1	stellate	schwann
human1_lib1.final_cell_0359	human	human1	beta	beta
human1_lib1.final_cell_0360	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0361	human	human1	endothelial	endothelial
human1_lib1.final_cell_0362	human	human1	gamma	gamma
human1_lib1.final_cell_0363	human	human1	beta	beta
human1_lib1.final_cell_0364	human	human1	beta	beta
human1_lib1.final_cell_0365	human	human1	alpha	alpha
human1_lib1.final_cell_0366	human	human1	alpha	alpha
human1_lib1.final_cell_0367	human	human1	gamma	gamma
human1_lib1.final_cell_0368	human	human1	beta	beta
human1_lib1.final_cell_0369	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0370	human	human1	delta	delta
human1_lib1.final_cell_0371	human	human1	acinar	acinar
human1_lib1.final_cell_0372	human	human1	acinar	acinar
human1_lib1.final_cell_0373	human	human1	gamma	gamma
human1_lib1.final_cell_0374	human	human1	ductal	ductal
human1_lib1.final_cell_0375	human	human1	ductal	ductal
human1_lib1.final_cell_0376	human	human1	endothelial	endothelial
human1_lib1.final_cell_0377	human	human1	removed	delta
human1_lib1.final_cell_0378	human	human1	beta	beta
human1_lib1.final_cell_0379	human	human1	removed	beta
human1_lib1.final_cell_0380	human	human1	endothelial	endothelial
human1_lib1.final_cell_0381	human	human1	alpha	alpha
human1_lib1.final_cell_0382	human	human1	acinar	acinar
human1_lib1.final_cell_0383	human	human1	endothelial	endothelial
human1_lib1.final_cell_0384	human	human1	endothelial	endothelial
human1_lib1.final_cell_0385	human	human1	alpha	alpha
human1_lib1.final_cell_0386	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0387	human	human1	beta	beta
human1_lib1.final_cell_0388	human	human1	gamma	gamma
human1_lib1.final_cell_0389	human	human1	removed	beta
human1_lib1.final_cell_0390	human	human1	alpha	alpha
human1_lib1.final_cell_0391	human	human1	alpha	beta
human1_lib1.final_cell_0392	human	human1	beta	beta
human1_lib1.final_cell_0393	human	human1	beta	beta
human1_lib1.final_cell_0394	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0395	human	human1	beta	beta
human1_lib1.final_cell_0396	human	human1	delta	delta
human1_lib1.final_cell_0397	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0398	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0399	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0400	human	human1	beta	beta
human1_lib1.final_cell_0401	human	human1	alpha	alpha
human1_lib1.final_cell_0402	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0403	human	human1	gamma	gamma
human1_lib1.final_cell_0404	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0405	human	human1	beta	beta
human1_lib1.final_cell_0406	human	human1	alpha	alpha
human1_lib1.final_cell_0407	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0408	human	human1	endothelial	endothelial
human1_lib1.final_cell_0409	human	human1	beta	beta
human1_lib1.final_cell_0410	human	human1	ductal	ductal
human1_lib1.final_cell_0411	human	human1	endothelial	endothelial
human1_lib1.final_cell_0412	human	human1	ductal	ductal
human1_lib1.final_cell_0413	human	human1	acinar	acinar
human1_lib1.final_cell_0414	human	human1	alpha	alpha
human1_lib1.final_cell_0415	human	human1	removed	delta
human1_lib1.final_cell_0416	human	human1	beta	beta
human1_lib1.final_cell_0417	human	human1	immune	macrophage
human1_lib1.final_cell_0418	human	human1	ductal	ductal
human1_lib1.final_cell_0419	human	human1	endothelial	endothelial
human1_lib1.final_cell_0420	human	human1	endothelial	endothelial
human1_lib1.final_cell_0421	human	human1	gamma	gamma
human1_lib1.final_cell_0422	human	human1	endothelial	endothelial
human1_lib1.final_cell_0423	human	human1	endothelial	endothelial
human1_lib1.final_cell_0424	human	human1	beta	beta
human1_lib1.final_cell_0425	human	human1	beta	beta
human1_lib1.final_cell_0426	human	human1	gamma	gamma
human1_lib1.final_cell_0427	human	human1	alpha	beta
human1_lib1.final_cell_0429	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0430	human	human1	endothelial	endothelial
human1_lib1.final_cell_0431	human	human1	gamma	gamma
human1_lib1.final_cell_0432	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0433	human	human1	alpha	alpha
human1_lib1.final_cell_0434	human	human1	beta	beta
human1_lib1.final_cell_0435	human	human1	alpha	alpha
human1_lib1.final_cell_0436	human	human1	acinar	acinar
human1_lib1.final_cell_0437	human	human1	ductal	ductal
human1_lib1.final_cell_0438	human	human1	beta	beta
human1_lib1.final_cell_0439	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0440	human	human1	ductal	ductal
human1_lib1.final_cell_0441	human	human1	beta	beta
human1_lib1.final_cell_0442	human	human1	beta	beta
human1_lib1.final_cell_0443	human	human1	ductal	ductal
human1_lib1.final_cell_0444	human	human1	acinar	acinar
human1_lib1.final_cell_0445	human	human1	endothelial	endothelial
human1_lib1.final_cell_0446	human	human1	beta	beta
human1_lib1.final_cell_0447	human	human1	delta	beta
human1_lib1.final_cell_0448	human	human1	beta	beta
human1_lib1.final_cell_0449	human	human1	ductal	ductal
human1_lib1.final_cell_0450	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0451	human	human1	beta	beta
human1_lib1.final_cell_0452	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0453	human	human1	acinar	acinar
human1_lib1.final_cell_0454	human	human1	gamma	gamma
human1_lib1.final_cell_0455	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0456	human	human1	endothelial	endothelial
human1_lib1.final_cell_0457	human	human1	endothelial	endothelial
human1_lib1.final_cell_0458	human	human1	alpha	alpha
human1_lib1.final_cell_0459	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0460	human	human1	beta	beta
human1_lib1.final_cell_0461	human	human1	acinar	acinar
human1_lib1.final_cell_0462	human	human1	beta	beta
human1_lib1.final_cell_0463	human	human1	endothelial	endothelial
human1_lib1.final_cell_0464	human	human1	endothelial	endothelial
human1_lib1.final_cell_0465	human	human1	beta	beta
human1_lib1.final_cell_0466	human	human1	acinar	acinar
human1_lib1.final_cell_0467	human	human1	delta	delta
human1_lib1.final_cell_0468	human	human1	beta	beta
human1_lib1.final_cell_0469	human	human1	beta	beta
human1_lib1.final_cell_0470	human	human1	beta	beta
human1_lib1.final_cell_0471	human	human1	delta	beta
human1_lib1.final_cell_0472	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0473	human	human1	beta	beta
human1_lib1.final_cell_0474	human	human1	beta	beta
human1_lib1.final_cell_0475	human	human1	beta	beta
human1_lib1.final_cell_0476	human	human1	gamma	gamma
human1_lib1.final_cell_0477	human	human1	ductal	ductal
human1_lib1.final_cell_0478	human	human1	beta	beta
human1_lib1.final_cell_0479	human	human1	gamma	gamma
human1_lib1.final_cell_0480	human	human1	beta	beta
human1_lib1.final_cell_0481	human	human1	delta	delta
human1_lib1.final_cell_0482	human	human1	beta	beta
human1_lib1.final_cell_0483	human	human1	beta	beta
human1_lib1.final_cell_0484	human	human1	gamma	gamma
human1_lib1.final_cell_0485	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0486	human	human1	beta	delta
human1_lib1.final_cell_0487	human	human1	beta	beta
human1_lib1.final_cell_0488	human	human1	delta	delta
human1_lib1.final_cell_0489	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0490	human	human1	delta	delta
human1_lib1.final_cell_0491	human	human1	beta	beta
human1_lib1.final_cell_0492	human	human1	removed	alpha
human1_lib1.final_cell_0493	human	human1	delta	delta
human1_lib1.final_cell_0494	human	human1	alpha	alpha
human1_lib1.final_cell_0495	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0496	human	human1	stellate	quiescent_stellate
human1_lib1.final_cell_0497	human	human1	beta_er_stress	beta
human1_lib1.final_cell_0498	human	human1	endothelial	endothelial
human1_lib1.final_cell_0499	human	human1	endothelial	endothelial
human1_lib1.final_cell_0500	human	human1	stellate	activated_stellate
human1_lib1.final_cell_0501	human	human1	beta	beta
human1_lib1.final_cell_0502	human	human1	removed	alpha
human1_lib1.final_cell_0503	human	human1	removed	delta
human1_lib1.final_cell_0504	human	human1	beta	beta
human1_lib1.final_cell_0505	human	human1	endothelial	endothelial
